class,AATS4dv,C1SP2,C4SP3,NssCH2,NdsCH,NssssC,NdO,StCH,fragCpx,ZMIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA12,SlogP_VSA10,EState_VSA1,nRing,n6aHRing,nG12FRing,n9FaRing
0,3.8780487804878048,0,0,2,0,0,1,0.0,104.05,31.674227629634206,-3.770320327481876,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
1,2.3722504230118444,0,0,6,0,1,1,0.0,164.07,55.837860386815606,-7.559787303056215,4.794537184071822,0.0,0.0,5.601050810983688,4,0,0,1
1,1.780373831775701,0,0,11,0,0,1,0.0,164.07,53.74229818546407,-7.450881599275241,4.794537184071822,0.0,0.0,0.0,4,0,0,1
1,3.227722772277228,2,0,2,0,0,1,0.0,76.06,45.44231630723053,-5.763994196576327,4.794537184071822,0.0,0.0,0.0,3,1,0,1
1,3.210084033613445,2,0,4,0,0,1,0.0,139.06,44.45370356939333,-5.489765801112506,4.794537184071822,0.0,0.0,0.0,3,1,0,1
1,2.0527903469079942,0,0,8,0,0,1,0.0,179.07,59.74509325419672,-8.147117293010776,4.794537184071822,0.0,0.0,6.103966387748303,4,0,0,1
1,3.3722222222222222,4,0,3,0,0,1,0.0,212.06,50.57210921608651,-6.255984903232029,4.794537184071822,0.0,0.0,0.0,4,1,0,1
1,4.196078431372548,0,0,3,0,0,1,0.0,114.06,34.86323865769618,-5.128809337906115,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
1,4.142276422764227,0,0,2,0,0,1,0.0,109.06,34.46096702799114,-4.733990765920712,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
1,2.1373626373626373,1,0,7,0,0,2,0.0,91.08,49.85074106138681,-6.659933599369843,4.794537184071822,0.0,0.0,0.0,3,0,0,1
1,1.9543147208121827,0,0,7,0,0,1,0.0,164.06,57.58552538352612,-8.32250170912973,4.794537184071822,0.0,0.0,0.0,4,0,0,1
0,1.6342342342342344,0,0,6,0,0,0,0.0,149.05,54.725371053143306,-8.016299060530248,0.0,0.0,0.0,0.0,4,0,0,1
1,4.305882352941176,0,0,3,0,0,1,0.0,114.06,32.46837101499686,-4.9215201801934905,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
0,3.670212765957447,0,0,4,0,0,1,0.0,114.05,32.88989828444858,-4.569128715287345,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
1,3.2432432432432434,3,0,3,1,0,1,0.0,82.06,45.84160891901195,-6.20249911655586,4.794537184071822,0.0,0.0,0.0,3,1,0,1
1,3.180327868852459,2,0,5,0,0,1,0.0,144.06,44.30137687867721,-5.882767532194277,4.794537184071822,0.0,0.0,0.0,3,1,0,1
1,3.6151202749140894,0,0,2,0,0,1,0.0,114.06,36.88440181011847,-4.395999337906116,4.992404732635669,0.0,4.794537184071822,0.0,3,0,1,0
0,1.9132149901380675,0,0,5,1,0,0,0.0,149.05,58.42046014690339,-7.874285754284152,0.0,0.0,0.0,0.0,4,0,0,1
1,4.349593495934959,3,0,3,0,0,2,0.0,169.1,52.43537091496032,-7.097517635437729,14.908855452837392,6.544756405912575,5.884182201861009,4.923311048817671,4,1,0,1
0,3.941176470588236,0,0,3,0,0,1,0.0,109.05,32.26863350482725,-4.170253995538446,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
1,2.602094240837696,1,0,7,0,0,2,0.0,174.1,50.51815818211577,-7.955576061467891,14.908855452837392,0.0,5.884182201861009,4.923311048817671,4,0,0,1
1,1.9495412844036697,1,0,7,0,1,2,0.0,100.08,51.58635095156545,-7.433249183569191,4.794537184071822,0.0,0.0,5.601050810983688,3,0,0,1
1,2.583333333333333,0,1,2,0,1,1,0.0,94.05,28.53124317840667,-3.428029018243848,5.316788604006331,0.0,10.481923458755384,6.093240070938415,3,0,1,0
1,3.2280701754385963,0,1,2,0,1,1,0.0,170.05,43.402269377241154,-4.77979185249877,10.633577208012662,0.0,16.169309733438947,6.093240070938415,4,0,1,0
